"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","salary.f","dummy_sales","dummy_accounting","dummy_hr","dummy_technical","dummy_support","dummy_management","dummy_IT","dummy_product_mng","dummy_marketing","dummy_RandD"
"900",0.84,0.83,5,238,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"901",0.78,0.94,5,271,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"902",0.43,0.53,2,145,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"903",0.36,0.55,2,152,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"904",0.43,0.47,2,128,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"905",0.45,0.46,2,142,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"906",0.76,0.93,5,238,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"907",0.1,0.78,7,286,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"908",0.09,0.86,6,291,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"909",0.92,1,5,259,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"910",0.92,0.9,5,248,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"911",0.79,0.98,4,271,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"912",0.43,0.51,2,140,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"913",0.8,0.95,4,274,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"914",0.44,0.49,2,127,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"915",0.89,0.87,5,275,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"916",0.48,0.88,3,239,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"917",0.11,0.82,6,304,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"918",0.38,0.55,2,145,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"919",0.11,0.85,6,259,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"920",0.82,0.86,4,264,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0
"921",0.37,0.45,2,160,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"922",0.4,0.48,2,138,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"923",0.43,0.47,2,137,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"924",0.44,0.5,2,156,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"925",0.42,0.56,2,147,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"926",0.11,0.8,7,243,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"927",0.78,0.87,4,236,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"928",0.46,0.86,2,212,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"929",0.77,0.91,5,261,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"930",0.83,0.82,4,243,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"931",0.32,0.58,5,271,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0
"932",0.9,0.92,5,154,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"933",0.42,0.52,2,151,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"934",0.1,0.96,6,254,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"935",0.1,0.91,6,285,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"936",0.44,0.49,2,130,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"937",0.1,0.95,7,301,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"938",0.11,0.8,6,286,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"939",0.1,0.89,6,246,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"940",0.39,0.47,2,135,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"941",0.92,0.92,4,245,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"942",0.43,0.56,2,136,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"943",0.11,0.89,6,301,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"944",0.81,1,5,235,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"945",0.11,0.85,7,272,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"946",0.87,1,5,274,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"947",0.37,0.46,2,131,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"948",0.39,0.56,2,135,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"949",0.61,0.86,4,196,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"950",0.11,0.95,6,285,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"951",0.09,0.9,7,289,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"952",0.36,0.52,2,157,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"953",0.09,0.94,6,308,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"954",0.41,0.71,4,301,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"955",0.4,0.46,2,131,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"956",0.1,0.91,6,262,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"957",0.46,0.53,2,143,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"958",0.39,0.57,2,133,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"959",0.41,0.5,2,153,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"960",0.1,0.94,7,281,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"961",0.39,0.51,2,132,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"962",0.73,0.83,5,270,5,1,1,0,2,0,0,0,0,1,0,0,0,0,0
"963",0.41,0.45,2,150,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"964",0.37,0.51,2,140,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"965",0.38,0.5,2,150,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0
"966",0.8,0.63,5,180,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"967",0.09,0.85,5,281,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"968",0.85,0.92,4,275,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"969",0.42,0.54,2,130,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"970",0.41,0.48,2,130,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0
"971",0.38,0.46,2,147,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"972",0.72,1,5,264,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"973",0.11,0.74,6,290,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"974",0.37,0.47,2,150,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"975",0.1,0.81,6,304,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0
"976",0.36,0.54,2,136,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"977",0.92,0.94,5,307,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"978",0.11,0.87,5,303,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"979",0.39,0.56,2,156,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"980",0.11,0.95,6,271,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"981",0.45,0.45,2,140,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"982",0.44,0.55,2,130,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"983",0.85,0.97,4,266,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"984",0.43,0.52,2,139,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"985",0.75,0.86,5,260,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"986",0.11,0.55,2,137,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"987",0.36,0.5,2,158,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"988",0.1,0.79,6,249,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"989",0.74,0.89,5,259,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"990",0.4,0.46,2,144,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"991",0.09,0.77,6,244,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"992",0.76,0.91,4,219,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"993",0.45,0.57,2,151,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"994",0.84,0.88,4,269,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"995",0.38,0.45,2,127,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"996",0.38,0.46,2,144,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"997",0.38,0.54,2,157,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"998",0.86,0.94,5,224,5,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"999",0.37,0.46,2,155,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"1000",0.37,0.5,2,131,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1001",0.87,1,4,258,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0
"1002",0.11,0.85,6,267,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1003",0.42,0.5,2,141,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1004",0.43,0.48,2,160,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1005",0.09,0.8,6,247,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1006",0.54,0.56,4,260,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1007",0.4,0.47,2,151,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1008",0.36,0.52,2,137,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"1009",0.87,0.9,4,256,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0
"1010",0.75,0.88,4,239,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1011",0.43,0.53,2,152,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1012",0.43,0.47,2,149,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1013",0.1,0.87,6,284,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1014",0.11,0.78,7,248,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1015",0.44,0.53,2,156,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1016",0.39,0.48,2,138,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1017",0.4,0.55,2,155,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1018",0.92,0.87,4,229,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1019",0.36,0.47,2,136,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1020",0.86,0.95,4,241,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1021",0.74,0.87,5,258,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1022",0.8,0.95,3,146,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1023",0.36,0.48,2,145,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1024",0.42,0.57,2,159,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1025",0.42,0.47,2,129,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1026",0.4,0.45,2,142,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1027",0.46,0.53,2,129,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1028",0.09,0.9,6,287,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1029",0.88,0.89,4,275,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1030",0.1,0.82,6,272,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1031",0.1,0.97,6,307,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1032",0.11,0.93,4,295,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1033",0.84,0.88,5,237,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1034",0.42,0.56,2,158,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1035",0.1,0.86,6,266,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"1036",0.1,0.95,6,256,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1037",0.46,0.54,2,158,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1038",0.09,0.97,7,268,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1039",0.89,1,4,237,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1040",0.82,1,4,273,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1041",0.11,0.89,6,309,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1042",0.81,0.84,5,258,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1043",0.81,0.94,5,233,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1044",0.77,1,4,249,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1045",0.63,0.94,3,179,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1046",0.4,0.57,2,128,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1047",0.86,1,4,250,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1048",0.37,0.49,2,151,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0
"1049",0.44,0.5,2,132,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1050",0.74,0.89,5,232,6,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1051",0.79,1,4,229,5,1,1,0,2,0,0,0,0,0,1,0,0,0,0
"1052",0.09,0.92,6,261,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1053",0.37,0.48,2,129,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1054",0.09,0.78,6,244,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1055",0.09,0.84,6,258,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1056",0.1,0.8,7,292,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1057",0.45,0.56,2,143,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1058",0.4,0.51,2,136,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1059",0.31,0.95,6,235,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1060",0.7,0.93,2,310,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1061",0.36,0.48,2,152,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1062",0.34,0.97,6,157,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"1063",0.87,0.83,5,267,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1064",0.11,0.91,6,302,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1065",0.47,0.81,4,133,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1066",0.43,0.52,2,142,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"1067",0.43,0.47,2,129,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1068",0.45,0.57,2,136,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1069",0.74,1,5,223,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1070",0.1,0.89,6,244,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"1071",0.78,0.87,5,243,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1072",0.9,0.95,5,275,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"1073",0.53,0.95,6,205,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1074",0.45,0.54,2,154,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1075",0.86,0.83,4,270,5,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"1076",0.74,0.89,4,267,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1077",0.09,0.79,6,276,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1078",0.8,0.95,5,244,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1079",0.46,0.53,2,128,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1080",0.86,0.95,5,269,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1081",0.86,0.95,4,238,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1082",0.9,0.91,4,269,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1083",0.87,0.88,5,231,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1084",0.83,0.94,4,267,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1085",0.77,0.83,4,245,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1086",0.77,1,4,272,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1087",0.9,0.86,5,254,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0
"1088",0.73,0.92,4,273,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1089",0.91,0.9,4,250,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1090",0.36,0.53,2,133,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1091",0.38,0.54,2,150,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1092",0.44,0.46,2,157,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1093",0.73,1,5,230,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1094",0.89,0.91,5,260,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1095",0.11,0.77,6,275,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1096",0.1,0.77,7,308,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1097",0.37,0.46,2,129,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1098",0.38,0.48,2,134,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1099",0.42,0.48,2,132,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1100",0.44,0.46,2,153,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1101",0.11,0.83,6,262,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1102",0.09,0.97,7,262,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1103",0.43,0.47,2,130,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1104",0.38,0.52,2,156,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1105",0.11,0.89,6,254,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1106",0.37,0.49,2,130,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1107",0.44,0.57,2,139,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1108",0.72,0.82,5,269,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1109",0.1,0.91,7,297,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1110",0.73,0.86,5,249,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1111",0.09,0.82,7,267,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1112",0.44,0.46,2,149,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1113",0.09,0.82,6,251,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"1114",0.1,0.87,6,306,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1115",0.11,0.86,6,279,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1116",0.42,0.46,2,131,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1117",0.09,0.85,6,260,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1118",0.72,0.88,5,249,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1119",0.75,0.97,4,245,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1120",0.44,0.5,2,138,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1121",0.11,0.91,6,278,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1122",0.38,0.47,2,147,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1123",0.39,0.57,2,131,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1124",0.1,0.9,7,301,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1125",0.43,0.52,2,141,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1126",0.39,0.57,2,158,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0
"1127",0.88,0.87,4,235,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"1128",0.1,0.85,7,261,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1129",0.1,0.89,5,270,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1130",0.11,0.93,6,290,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1131",0.37,0.47,2,149,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"1132",0.37,0.48,2,160,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1133",0.77,0.87,4,150,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1134",0.91,0.94,5,218,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1135",0.46,0.51,2,155,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1136",0.11,0.87,6,291,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1137",0.86,0.91,5,265,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1138",0.87,0.88,5,262,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1139",0.09,0.92,6,303,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1140",0.42,0.46,2,132,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1141",0.82,0.83,4,245,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"1142",0.46,0.48,2,129,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1143",0.88,1,5,226,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1144",0.1,0.91,6,286,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1145",0.43,0.45,2,140,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1146",0.37,0.49,2,153,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1147",0.8,0.95,5,217,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"1148",0.83,0.95,5,258,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1149",0.39,0.57,2,156,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"1150",0.77,0.92,5,255,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1151",0.43,0.46,2,129,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1152",0.79,0.96,4,234,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1153",0.39,0.55,2,152,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"1154",0.1,0.88,7,300,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1155",0.39,0.53,2,131,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1156",0.11,0.89,6,301,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1157",0.4,0.51,2,156,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1158",0.42,0.52,2,141,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"1159",0.57,0.85,4,219,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"1160",0.11,0.95,7,269,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1161",0.36,0.73,4,276,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1162",0.11,0.94,7,302,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1163",0.35,0.8,6,281,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1164",0.78,0.99,5,241,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1165",0.11,0.93,7,288,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0
"1166",0.1,0.96,6,303,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1167",0.42,0.54,2,135,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1168",0.43,0.5,2,127,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"1169",0.79,0.84,5,245,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1170",0.45,0.45,2,145,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"1171",0.09,0.91,6,248,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1172",0.11,0.91,6,302,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1173",0.45,0.49,2,144,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1174",0.11,0.91,6,272,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1175",0.09,0.8,6,294,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1176",0.78,0.71,4,296,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1177",0.38,0.5,2,151,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"1178",0.82,0.82,4,249,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"1179",0.85,0.89,4,221,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1180",0.45,0.46,2,146,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1181",0.77,0.89,5,243,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1182",0.39,0.5,2,127,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1183",0.91,0.9,4,245,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1184",0.11,0.77,6,264,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1185",0.46,0.45,2,143,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1186",0.43,0.49,2,135,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1187",0.11,0.96,6,262,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"1188",0.1,0.93,6,299,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1189",0.09,0.8,5,279,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"1190",0.36,0.51,2,155,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"1191",0.11,0.89,6,264,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"1192",0.09,0.77,6,256,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1193",0.44,0.51,2,129,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1194",0.73,0.97,5,217,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1195",0.21,0.58,7,203,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1196",0.8,0.85,4,264,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1197",0.37,0.55,2,159,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1198",0.79,0.96,5,218,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1199",0.09,0.8,6,298,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1200",0.75,0.74,6,134,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0
"1201",0.83,1,5,263,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1202",0.1,0.77,5,252,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"1203",0.44,0.55,2,136,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
